HUC8,2010_DO,2010_TCOLI_M,2010_TN,2010_TP,2010_TSS,2011_DO,2011_TCOLI_M,2011_TN,2011_TOC,2011_TP,2011_TSS,2012_DO,2012_TCOLI_M,2012_TN,2012_TOC,2012_TP,2012_TSS,2013_DO,2013_TN,2013_TOC,2013_TP,2013_TSS,2014_DO,2014_TN,2014_TOC,2014_TP,2014_TSS,2015_DO,2015_TN,2015_TOC,2015_TP,2015_TSS,2016_DO,2016_TN,2016_TP,2016_TSS
02080108,8.78022541,,0.429488235,0.032958824,11.82236842,8.331004862,,0.412144444,,0.02607037,11.90539278,8.215415385,,0.406181481,,0.026259259,12.8283333,8.686976744,0.381369565,,0.022608,11.83244042,8.697622951,0.392073913,,0.027288235,10.14645833,8.5684689,0.381591304,,0.024816667,9.836544583,8.214468085,0.38625,0.0323375,11.33625
02080109,7.614084507,,1.467424242,0.059751515,26.85757576,8.435693431,,2.657166667,5.76875,0.081276389,37.09408451,7.5702,,3.195905769,3.493111111,0.074352885,34.46939655,7.675533537,3.388494595,4.680980392,0.075177679,31.24401674,7.8224,3.751898876,2.665488889,0.062458427,27.46,9.085555556,3.470488506,4.398055556,0.07344023,24.99413793,9.618644068,2.722952381,0.052271429,36.3375
02080110,6.80025,,0.978230952,0.054398214,15.00851124,7.880716129,,1.156760188,,0.070715313,18.16485915,7.777202889,,1.282004204,,0.077883483,21.1105279,7.938431373,1.23525,,0.078213213,19.37606236,8.186945373,0.855033333,,0.038653302,13.31063063,8.489167545,0.916757203,,0.042145852,14.00294715,8.744065336,0.834024561,0.03184537,16.99626016
02080111,6.607638037,,0.836630137,0.064519178,17.00168208,7.983055028,,0.863302655,,0.065888696,17.2763195,6.428631863,,0.989569524,,0.069686667,18.2849317,7.392132948,0.974459434,,0.070621905,16.12159599,7.166221065,0.746887059,,0.054196,15.82849097,7.913112948,0.815108989,,0.059264474,13.88438146,7.377176781,0.692508197,0.046225,14.37645844
02080201,10.62857143,,0.250555556,0.008777778,2.222222222,10.75454545,,0.300833333,,0.008148148,1.666666667,11.37181818,,0.244814815,,0.009037037,2.555555556,11.58954545,0.279642857,,0.007925926,1.785714286,11.80545455,0.290769231,,0.007230769,1.653846154,11.64208333,0.288461538,,0.010923077,3.730769231,11.11444444,0.287,0.0094,1.85
02080202,9.55,,0.48375,0.0245,2.25,10.29565217,,0.4316,,0.015923077,4.32,10.3726087,,0.392592593,,0.009333333,2.777777778,11.03458333,0.514230769,,0.024461538,11.76923077,10.90318182,0.536538462,,0.02368,16.73076923,10.73391304,0.416666667,,0.013925926,3.962962963,10.67555556,0.446,0.015052632,6.3
02080203,9.928571429,,0.522666667,0.055333333,27.26666667,10.31,,0.544545455,,0.06826087,43.34782609,10.22944444,,0.5825,,0.093,63.45,10.63590909,0.667692308,,0.079692308,65.15384615,10.72277778,0.469,,0.044,27.25,10.4055,0.4925,,0.04875,30.75,10.55083333,0.668461538,0.12,107.4615385
02080204,9.121428571,,1.11625,0.06875,2.5625,10.27176471,,0.768717949,,0.130564103,49.8974359,9.775357143,,0.654117647,,0.089705882,33.52941176,10.80125,0.688857143,,0.094,45,10.65666667,0.641470588,,0.084705882,34.73529412,10.51375,0.648974359,,0.095128205,43.38461538,10.65055556,0.691666667,0.1025,52.41666667
02080205,9.187878788,,0.565204545,0.073697436,28.51282051,10.436,,0.665929825,,0.148641176,77.81132075,9.896136364,,0.366872727,,0.047142857,17.625,10.74125,0.615404762,,0.105866,61.28333333,10.67163265,0.464777778,,0.095982609,49.92592593,10.26769231,0.518855932,,0.089322449,39.29310345,9.892121212,0.663828571,0.166373333,78.76470588
02080206,7.453695652,,0.7137,0.083160145,29.64028777,9.201431718,,0.77138835,,0.077082488,31.93469388,8.031241758,,0.665923567,,0.075709524,28.5015544,9.34458567,0.660312903,,0.081777419,38.42825485,9.245225806,0.615971014,,0.074503226,34.74698795,8.833275401,0.64996988,,0.076753448,35.40930233,8.113598616,0.634165049,0.092857426,39.77707006
02080207,8.788135593,,0.6905,0.05735,15.55,9.386036036,,0.614492537,,0.04977027,13.79452055,9.489814815,,0.622145161,,0.045214815,16.38888889,10.0400813,0.663047945,,0.075219231,38.70454545,9.742232143,0.554449275,,0.051635821,21.42857143,9.297169811,0.622929577,,0.058083562,20.48148148,8.405694444,0.674880952,0.075457143,29.36
02080208,6.282413295,,0.639584314,0.0827005,18.49965,7.908917445,,0.553850903,,0.061379883,16.99950193,7.437421815,,0.554009459,,0.071591429,18.24887582,7.606910995,0.567915294,,0.065317371,25.32216976,7.529670232,0.568206289,,0.065825,23.00268858,7.354980507,0.693755333,,0.084443719,26.93391171,7.582904222,0.564274453,0.066271598,22.78082278
